Frame,Condition,Luminosite,Occupees,Libres
3,day,107.6,0,30
6,day,102.3,0,30
9,twilight,96.7,0,30
12,twilight,96.7,0,30
15,twilight,94.4,0,30
18,twilight,99.3,1,29
21,twilight,81.8,2,28
24,twilight,88.7,2,28
27,twilight,98.7,0,30
30,day,104.8,1,29
33,twilight,97.7,0,30
36,twilight,93.1,2,28
39,twilight,91.7,0,30
42,day,104.5,0,30
45,day,125.0,7,23
48,day,111.3,8,22
51,day,119.6,9,21
54,day,117.9,10,20
57,day,102.2,10,20
60,day,104.2,10,20
63,day,107.5,5,25
66,day,115.1,4,26
69,day,101.0,0,30
72,day,108.2,2,28
75,twilight,84.7,8,22
78,twilight,98.0,10,20
81,day,111.6,5,25
84,day,113.6,6,24
87,day,118.5,15,15
90,day,115.8,12,18
93,day,116.0,13,17
96,day,105.6,7,23
99,day,114.8,7,23
102,day,111.3,7,23
105,twilight,85.5,5,25
108,twilight,86.6,6,24
111,day,105.5,6,24
114,twilight,94.4,3,27
117,twilight,93.3,2,28
120,twilight,99.5,2,28
123,twilight,90.3,1,29
126,day,109.8,1,29
129,twilight,75.7,3,27
132,twilight,91.5,3,27
135,twilight,99.0,2,28
138,twilight,98.9,2,28
141,day,108.1,2,28
144,day,125.7,1,29
147,day,108.4,1,29
150,day,108.1,2,28
153,twilight,95.2,4,26
156,day,119.2,9,21
159,day,116.2,10,20
162,day,114.0,9,21
165,day,112.5,9,21
168,day,110.6,6,24
171,day,112.1,6,24
174,day,108.9,3,27
177,day,111.9,9,21
180,day,115.5,14,16
183,day,110.2,12,18
186,day,123.6,14,16
189,day,123.1,10,20
